Zip Code ,Population,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43917,3380.0,558.0,119,52,16508.88,3520.71,1538.46
43920,22290.0,5063.0,852,192,22714.22,3822.34,861.37
43925,425.0,29.0,6,,6823.53,1411.76,
43926,236.0,62.0,5,,26271.19,2118.64,
43927,124.0,5.0,,,4032.26,,
43928,21.0,,,,,,
43930,795.0,162.0,30,7,20377.36,3773.58,880.5
43931,375.0,80.0,18,,21333.33,4800.0,
43932,836.0,171.0,24,,20454.55,2870.81,
43933,1875.0,424.0,89,39,22613.33,4746.67,2080.0
43934,466.0,63.0,12,,13519.31,2575.11,
43935,8870.0,1830.0,421,150,20631.34,4746.34,1691.09
43938,5320.0,1076.0,249,72,20225.56,4680.45,1353.38
43939,439.0,99.0,18,,22551.25,4100.23,
43940,102.0,99.0,18,6,97058.82,17647.06,5882.35
43942,2767.0,519.0,112,33,18756.78,4047.71,1192.63
43943,3029.0,771.0,147,53,25453.95,4853.09,1749.75
43944,2221.0,483.0,97,28,21746.96,4367.4,1260.69
43945,3189.0,554.0,93,20,17372.22,2916.27,627.16
43946,2136.0,437.0,102,33,20458.8,4775.28,1544.94
43947,5297.0,1297.0,249,77,24485.56,4700.77,1453.65
43948,586.0,90.0,13,5,15358.36,2218.43,853.24
43950,16446.0,3283.0,615,232,19962.3,3739.51,1410.68
43951,64.0,,,,,,
43952,18498.0,3940.0,826,212,21299.6,4465.35,1146.07
43953,11656.0,2685.0,638,170,23035.35,5473.58,1458.48
43961,363.0,44.0,8,5,12121.21,2203.86,1377.41
43962,92.0,,,,,,
43963,1385.0,300.0,61,18,21660.65,4404.33,1299.64
43964,8642.0,1929.0,404,133,22321.22,4674.84,1539.0
43968,6212.0,1557.0,281,55,25064.39,4523.5,885.38
43971,1100.0,228.0,46,14,20727.27,4181.82,1272.73
43973,2281.0,332.0,56,21,14555.02,2455.06,920.65
43974,75.0,,,,,,
43976,1661.0,449.0,85,37,27031.91,5117.4,2227.57
43977,2289.0,431.0,94,26,18829.18,4106.6,1135.87
43983,454.0,73.0,17,10,16079.3,3744.49,2202.64
43985,93.0,,,,,,
